,ts_code,symbol,name,area,industry,list_date
498,001316.SZ,001316.SZ#E,润贝航科,深圳,批发业,20220624
499,001317.SZ,001317.SZ#E,三羊马,重庆,仓储物流,20211130
500,001318.SZ,001318.SZ#E,阳光乳业,江西,乳制品,20220520
501,001319.SZ,001319.SZ#E,铭科精技,广东,汽车配件,20220512
502,001322.SZ,001322.SZ#E,箭牌家居,广东,家居用品,20221026
503,001323.SZ,001323.SZ#E,慕思股份,广东,家居用品,20220623
504,001324.SZ,001324.SZ#E,长青科技,江苏,运输设备,20230522
505,001328.SZ,001328.SZ#E,登康口腔,重庆,日用化工,20230410
506,001330.SZ,001330.SZ#E,博纳影业,新疆,影视音像,20220818
507,001331.SZ,001331.SZ#E,胜通能源,山东,仓储物流,20220908
508,001332.SZ,001332.SZ#E,锡装股份,江苏,专用机械,20220920
509,001333.SZ,001333.SZ#E,光华股份,浙江,化工原料,20221208
510,001336.SZ,001336.SZ#E,楚环科技,浙江,专用机械,20220725
511,001337.SZ,001337.SZ#E,四川黄金,四川,黄金,20230303
512,001338.SZ,001338.SZ#E,永顺泰,广东,啤酒,20221116
513,001339.SZ,001339.SZ#E,智微智能,深圳,IT设备,20220815
514,001360.SZ,001360.SZ#E,南矿集团,江西,工程机械,20230410
515,001366.SZ,001366.SZ#E,播恩集团,江西,饲料,20230307
516,001367.SZ,001367.SZ#E,海森药业,浙江,化学制药,20230410
517,001368.SZ,001368.SZ#E,通达创智,福建,文教休闲,20230313
518,001373.SZ,001373.SZ#E,C翔腾,江苏,元器件,20230601
519,001380.SZ,001380.SZ#E,华纬科技,浙江,汽车配件,20230516
520,001696.SZ,001696.SZ#E,宗申动力,重庆,摩托车,19970306
521,001872.SZ,001872.SZ#E,招商港口,深圳,港口,19930505
522,001896.SZ,001896.SZ#E,豫能控股,河南,火力发电,19980122
523,001914.SZ,001914.SZ#E,招商积余,深圳,房产服务,19940928
524,001965.SZ,001965.SZ#E,招商公路,天津,路桥,20171225
525,001979.SZ,001979.SZ#E,招商蛇口,深圳,全国地产,20151230
526,002001.SZ,002001.SZ#E,新和成,浙江,化学制药,20040625
527,002002.SZ,002002.SZ#E,鸿达兴业,江苏,化工原料,20040625
528,002003.SZ,002003.SZ#E,伟星股份,浙江,服饰,20040625
529,002004.SZ,002004.SZ#E,华邦健康,重庆,农药化肥,20040625
530,002005.SZ,002005.SZ#E,ST德豪,安徽,家用电器,20040625
531,002006.SZ,002006.SZ#E,精工科技,浙江,专用机械,20040625
